N,Version,Threshold,Blocks,Threads,Average
2048,1,4,1,256,0.0509184
2048,1,4,1,512,0.048768
2048,1,4,1,1024,0.0477184
2048,1,4,2,1,0.2375296
2048,1,4,2,2,0.1685952
2048,1,4,2,4,0.1246528
2048,1,4,2,8,0.0914112
2048,1,4,2,16,0.074208
2048,1,4,2,32,0.0661248
2048,1,4,2,64,0.0594816
2048,1,4,2,128,0.055936
2048,1,4,2,256,0.04896
2048,1,4,2,512,0.048832
2048,1,4,2,1024,0.0496704
2048,1,4,4,1,0.1428672
2048,1,4,4,2,0.1090432
2048,1,4,4,4,0.0889024
2048,1,4,4,8,0.0724672
2048,1,4,4,16,0.0632384
2048,1,4,4,32,0.0590464
2048,1,4,4,64,0.0587712
2048,1,4,4,128,0.0530752
2048,1,4,4,256,0.0487488
2048,1,4,4,512,0.0535488
2048,1,4,4,1024,0.0601792
2048,1,4,8,1,0.100256
2048,1,4,8,2,0.0794048
2048,1,4,8,4,0.0671616
2048,1,4,8,8,0.0606464
2048,1,4,8,16,0.0563712
2048,1,4,8,32,0.0553216
2048,1,4,8,64,0.0543232
2048,1,4,8,128,0.0528832
2048,1,4,8,256,0.0560448
2048,1,4,8,512,0.0614848
2048,1,4,8,1024,0.074784
2048,1,4,16,1,0.0771072
2048,1,4,16,2,0.0671744
2048,1,4,16,4,0.0642624
2048,1,4,16,8,0.0574016
2048,1,4,16,16,0.0521984
2048,1,4,16,32,0.0578048
2048,1,4,16,64,0.0520448
2048,1,4,16,128,0.0529792
2048,1,4,16,256,0.0581952
2048,1,4,16,512,0.071136
2048,1,4,16,1024,0.0899776
2048,1,4,32,1,0.065408
2048,1,4,32,2,0.0600832
2048,1,4,32,4,0.0574976
2048,1,4,32,8,0.0539392
2048,1,4,32,16,0.0509824
2048,1,4,32,32,0.0505152
2048,1,4,32,64,0.05376
2048,1,4,32,128,0.057408
2048,1,4,32,256,0.0677056
2048,1,4,32,512,0.090112
2048,1,4,32,1024,0.137408
2048,1,4,64,1,0.0576
2048,1,4,64,2,0.0573504
2048,1,4,64,4,0.055328
2048,1,4,64,8,0.0522624
2048,1,4,64,16,0.0624704
2048,1,4,64,32,0.05696
2048,1,4,64,64,0.061952
2048,1,4,64,128,0.0740352
2048,1,4,64,256,0.0939392
2048,1,4,64,512,0.1343808
2048,1,4,64,1024,0.21168
2048,1,4,128,1,0.0602048
2048,1,4,128,2,0.0573952
2048,1,4,128,4,0.0538688
2048,1,4,128,8,0.0543744
2048,1,4,128,16,0.0565824
2048,1,4,128,32,0.0619456
2048,1,4,128,64,0.074368
2048,1,4,128,128,0.0925504
2048,1,4,128,256,0.1317248
2048,1,4,128,512,0.2172608
2048,1,4,128,1024,0.378432
2048,1,4,256,1,0.05856
2048,1,4,256,2,0.0575296
2048,1,4,256,4,0.0562304
2048,1,4,256,8,0.0604096
2048,1,4,256,16,0.0644864
2048,1,4,256,32,0.0788608
2048,1,4,256,64,0.0978752
2048,1,4,256,128,0.1299392
2048,1,4,256,256,0.199168
2048,1,4,256,512,0.3554304
2048,1,4,256,1024,0.605984
2048,1,4,512,1,0.0587392
2048,1,4,512,2,0.0587008
2048,1,4,512,4,0.0567232
2048,1,4,512,8,0.0627136
2048,1,4,512,16,0.0745472
2048,1,4,512,32,0.088768
2048,1,4,512,64,0.122272
2048,1,4,512,128,0.1979072
2048,1,4,512,256,0.3773824
2048,1,4,512,512,0.6326912
2048,1,4,512,1024,1.0959296
2048,1,4,1024,1,0.0623424
2048,1,4,1024,2,0.06784
2048,1,4,1024,4,0.0744768
2048,1,4,1024,8,0.0880768
2048,1,4,1024,16,0.101632
2048,1,4,1024,32,0.139936
2048,1,4,1024,64,0.215456
2048,1,4,1024,128,0.3752256
2048,1,4,1024,256,0.6102016
2048,1,4,1024,512,1.0184896
2048,1,4,1024,1024,1.8200128
2048,1,4,2048,1,0.0763776
2048,1,4,2048,2,0.0858112
2048,1,4,2048,4,0.0986752
2048,1,4,2048,8,0.1168064
2048,1,4,2048,16,0.150208
2048,1,4,2048,32,0.2079744
2048,1,4,2048,64,0.3596352
2048,1,4,2048,128,0.6039616
2048,1,4,2048,256,0.9485312
2048,1,4,2048,512,1.7791488
2048,1,4,2048,1024,3.4829504
2048,1,4,4096,1,0.1033024
2048,1,4,4096,2,0.1171776
2048,1,4,4096,4,0.1385408
2048,1,4,4096,8,0.1871808
2048,1,4,4096,16,0.2602944
2048,1,4,4096,32,0.3887808
2048,1,4,4096,64,0.5963392
2048,1,4,4096,128,0.9769344
2048,1,4,4096,256,1.6436288
2048,1,4,4096,512,3.1711936
2048,1,4,4096,1024,6.5799616
2048,1,4,8192,1,0.1600896
2048,1,4,8192,2,0.1916672
2048,1,4,8192,4,0.2320448
2048,1,4,8192,8,0.3088064
2048,1,4,8192,16,0.4344
2048,1,4,8192,32,0.6201024
2048,1,4,8192,64,0.9830144
2048,1,4,8192,128,1.6600768
2048,1,4,8192,256,3.1002112
2048,1,4,8192,512,6.1308928
2048,1,4,8192,1024,12.3363392
2048,1,4,16384,1,0.2518016
2048,1,4,16384,2,0.3077376
2048,1,4,16384,4,0.3932352
2048,1,4,16384,8,0.5603584
2048,1,4,16384,16,0.8064192
2048,1,4,16384,32,1.0921344
2048,1,4,16384,64,1.7115904
2048,1,4,16384,128,3.1461504
2048,1,4,16384,256,6.1020736
2048,1,4,16384,512,12.145952
2048,1,4,16384,1024,24.5091394
2048,1,4,32768,1,0.4580864
2048,1,4,32768,2,0.5631296
2048,1,4,32768,4,0.7393088
2048,1,4,32768,8,1.0255872
2048,1,4,32768,16,1.3582336
2048,1,4,32768,32,1.9283904
2048,1,4,32768,64,3.1384192
2048,1,4,32768,128,5.9641856
2048,1,4,32768,256,12.1504064
2048,1,4,32768,512,22.6776258
2048,1,4,32768,1024,47.2212098
2048,1,32,1,1,0.4235264
2048,1,32,1,2,0.2828224
2048,1,32,1,4,0.1963776
2048,1,32,1,8,0.1379328
2048,1,32,1,16,0.1024512
2048,1,32,1,32,0.0745664
2048,1,32,1,64,0.0619008
2048,1,32,1,128,0.0531904
2048,1,32,1,256,0.0505152
2048,1,32,1,512,0.0491712
2048,1,32,1,1024,0.0482752
2048,1,32,2,1,0.2382528
2048,1,32,2,2,0.1684672
2048,1,32,2,4,0.1233408
2048,1,32,2,8,0.0950528
2048,1,32,2,16,0.0726848
2048,1,32,2,32,0.060224
2048,1,32,2,64,0.05328
2048,1,32,2,128,0.0462912
2048,1,32,2,256,0.0461568
2048,1,32,2,512,0.047264
2048,1,32,2,1024,0.050272
2048,1,32,4,1,0.1465664
2048,1,32,4,2,0.1076096
2048,1,32,4,4,0.0848384
2048,1,32,4,8,0.0722304
2048,1,32,4,16,0.0634816
2048,1,32,4,32,0.05072
2048,1,32,4,64,0.0492416
2048,1,32,4,128,0.0496192
2048,1,32,4,256,0.048416
2048,1,32,4,512,0.0489344
2048,1,32,4,1024,0.0559296
2048,1,32,8,1,0.0960704
2048,1,32,8,2,0.0777792
2048,1,32,8,4,0.064544
2048,1,32,8,8,0.0613504
2048,1,32,8,16,0.0565696
2048,1,32,8,32,0.049472
2048,1,32,8,64,0.049344
2048,1,32,8,128,0.0434432
2048,1,32,8,256,0.055488
2048,1,32,8,512,0.0571776
2048,1,32,8,1024,0.06688
2048,1,32,16,1,0.0768512
2048,1,32,16,2,0.0677376
2048,1,32,16,4,0.0597952
2048,1,32,16,8,0.067584
2048,1,32,16,16,0.065024
2048,1,32,16,32,0.0525376
2048,1,32,16,64,0.0458048
2048,1,32,16,128,0.0490496
2048,1,32,16,256,0.0569152
2048,1,32,16,512,0.0795456
2048,1,32,16,1024,0.084352
2048,1,32,32,1,0.0654272
2048,1,32,32,2,0.0609216
2048,1,32,32,4,0.0569344
2048,1,32,32,8,0.0536512
2048,1,32,32,16,0.0494656
2048,1,32,32,32,0.0451968
2048,1,32,32,64,0.0480768
2048,1,32,32,128,0.0568064
2048,1,32,32,256,0.0705024
2048,1,32,32,512,0.0884288
2048,1,32,32,1024,0.1312832
2048,1,32,64,1,0.0595328
2048,1,32,64,2,0.0567744
2048,1,32,64,4,0.0554432
2048,1,32,64,8,0.0535296
2048,1,32,64,16,0.05376
2048,1,32,64,32,0.0559808
2048,1,32,64,64,0.0585664
2048,1,32,64,128,0.0688128
2048,1,32,64,256,0.084992
2048,1,32,64,512,0.1315456
2048,1,32,64,1024,0.206496
2048,1,32,128,1,0.0575232
2048,1,32,128,2,0.0579584
2048,1,32,128,4,0.0556672
2048,1,32,128,8,0.054208
2048,1,32,128,16,0.0576832
2048,1,32,128,32,0.0622912
2048,1,32,128,64,0.0739776
2048,1,32,128,128,0.0908928
2048,1,32,128,256,0.1331392
2048,1,32,128,512,0.2177664
2048,1,32,128,1024,0.3893632
2048,1,32,256,1,0.060992
2048,1,32,256,2,0.058368
2048,1,32,256,4,0.0572608
2048,1,32,256,8,0.059392
2048,1,32,256,16,0.06176
2048,1,32,256,32,0.0772736
2048,1,32,256,64,0.091456
2048,1,32,256,128,0.1412608
2048,1,32,256,256,0.2094272
2048,1,32,256,512,0.3779968
2048,1,32,256,1024,0.6443712
2048,1,32,512,1,0.058624
2048,1,32,512,2,0.0575872
2048,1,32,512,4,0.0625088
2048,1,32,512,8,0.0707584
2048,1,32,512,16,0.0783488
2048,1,32,512,32,0.0952768
2048,1,32,512,64,0.1386944
2048,1,32,512,128,0.2108864
2048,1,32,512,256,0.3789184
2048,1,32,512,512,0.629536
2048,1,32,512,1024,1.057856
2048,1,32,1024,1,0.0636992
2048,1,32,1024,2,0.0676672
2048,1,32,1024,4,0.0747456
2048,1,32,1024,8,0.086944
2048,1,32,1024,16,0.1024256
2048,1,32,1024,32,0.137472
2048,1,32,1024,64,0.2099648
2048,1,32,1024,128,0.4008832
2048,1,32,1024,256,0.6179776
2048,1,32,1024,512,1.0162752
2048,1,32,1024,1024,1.8731136
2048,1,32,2048,1,0.0765056
2048,1,32,2048,2,0.0875968
2048,1,32,2048,4,0.098144
2048,1,32,2048,8,0.1137664
2048,1,32,2048,16,0.1460224
2048,1,32,2048,32,0.2188992
2048,1,32,2048,64,0.3585408
2048,1,32,2048,128,0.5648768
2048,1,32,2048,256,0.9290752
2048,1,32,2048,512,1.679552
2048,1,32,2048,1024,3.3095168
2048,1,32,4096,1,0.103584
2048,1,32,4096,2,0.1175424
2048,1,32,4096,4,0.1404416
2048,1,32,4096,8,0.1750144
2048,1,32,4096,16,0.2567872
2048,1,32,4096,32,0.3699584
2048,1,32,4096,64,0.5604032
2048,1,32,4096,128,0.9084672
2048,1,32,4096,256,1.7187008
2048,1,32,4096,512,3.2910592
2048,1,32,4096,1024,6.3434304
2048,1,32,8192,1,0.151552
2048,1,32,8192,2,0.1763712
2048,1,32,8192,4,0.227584
2048,1,32,8192,8,0.3063808
2048,1,32,8192,16,0.448928
2048,1,32,8192,32,0.6547776
2048,1,32,8192,64,0.9603136
2048,1,32,8192,128,1.6630912
2048,1,32,8192,256,3.0732416
2048,1,32,8192,512,6.2559296
2048,1,32,8192,1024,12.496192
2048,1,32,16384,1,0.2496896
2048,1,32,16384,2,0.309664
2048,1,32,16384,4,0.3882496
2048,1,32,16384,8,0.534176
2048,1,32,16384,16,0.7593088
2048,1,32,16384,32,1.0748288
2048,1,32,16384,64,1.7151872
2048,1,32,16384,128,3.1331008
2048,1,32,16384,256,6.5236416
2048,1,32,16384,512,12.167904
2048,1,32,16384,1024,25.515213
2048,1,32,32768,1,0.4473088
2048,1,32,32768,2,0.550144
2048,1,32,32768,4,0.7546624
2048,1,32,32768,8,1.0372096
2048,1,32,32768,16,1.314208
2048,1,32,32768,32,1.9255936
2048,1,32,32768,64,3.1374272
2048,1,32,32768,128,5.9101952
2048,1,32,32768,256,12.0892096
2048,1,32,32768,512,23.640224
2048,1,32,32768,1024,47.9123382
2048,1,128,1,1,0.418368
2048,1,128,1,2,0.2818752
2048,1,128,1,4,0.196064
2048,1,128,1,8,0.130336
2048,1,128,1,16,0.09584
2048,1,128,1,32,0.0744896
2048,1,128,1,64,0.0620864
2048,1,128,1,128,0.0511936
2048,1,128,1,256,0.0509568
2048,1,128,1,512,0.0506176
2048,1,128,1,1024,0.0491648
2048,1,128,2,1,0.2370688
2048,1,128,2,2,0.1677504
2048,1,128,2,4,0.1237952
2048,1,128,2,8,0.083904
2048,1,128,2,16,0.0695296
2048,1,128,2,32,0.0616384
2048,1,128,2,64,0.051616
2048,1,128,2,128,0.0487936
2048,1,128,2,256,0.0473728
2048,1,128,2,512,0.0481664
2048,1,128,2,1024,0.0526336
2048,1,128,4,1,0.1469504
2048,1,128,4,2,0.1106176
2048,1,128,4,4,0.0895296
2048,1,128,4,8,0.0661888
2048,1,128,4,16,0.0560768
2048,1,128,4,32,0.0496832
2048,1,128,4,64,0.0481792
2048,1,128,4,128,0.0460352
2048,1,128,4,256,0.0455104
2048,1,128,4,512,0.0516352
2048,1,128,4,1024,0.056224
2048,1,128,8,1,0.098208
2048,1,128,8,2,0.0818304
2048,1,128,8,4,0.070912
2048,1,128,8,8,0.0556032
2048,1,128,8,16,0.0521024
2048,1,128,8,32,0.0507328
2048,1,128,8,64,0.0486272
2048,1,128,8,128,0.0444288
2048,1,128,8,256,0.04832
2048,1,128,8,512,0.05536
2048,1,128,8,1024,0.0749312
2048,1,128,16,1,0.0771776
2048,1,128,16,2,0.0677504
2048,1,128,16,4,0.0616128
2048,1,128,16,8,0.0498496
2048,1,128,16,16,0.0523136
2048,1,128,16,32,0.0491392
2048,1,128,16,64,0.0475008
2048,1,128,16,128,0.0512512
2048,1,128,16,256,0.0568384
2048,1,128,16,512,0.0695104
2048,1,128,16,1024,0.0886656
2048,1,128,32,1,0.0653696
2048,1,128,32,2,0.060448
2048,1,128,32,4,0.0574528
2048,1,128,32,8,0.0470784
2048,1,128,32,16,0.0479296
2048,1,128,32,32,0.0465216
2048,1,128,32,64,0.04832
2048,1,128,32,128,0.0539712
2048,1,128,32,256,0.0670528
2048,1,128,32,512,0.0840576
2048,1,128,32,1024,0.1312832
2048,1,128,64,1,0.0587584
2048,1,128,64,2,0.3934976
2048,1,128,64,4,0.0521536
2048,1,128,64,8,0.0439104
2048,1,128,64,16,0.0444224
2048,1,128,64,32,0.0486208
2048,1,128,64,64,0.0518592
2048,1,128,64,128,0.0684928
2048,1,128,64,256,0.08224
2048,1,128,64,512,0.1216448
2048,1,128,64,1024,0.2023616
2048,1,128,128,1,0.0547904
2048,1,128,128,2,0.0530688
2048,1,128,128,4,0.0534272
2048,1,128,128,8,0.0482432
2048,1,128,128,16,0.0457792
2048,1,128,128,32,0.0542592
2048,1,128,128,64,0.0613824
2048,1,128,128,128,0.0807488
2048,1,128,128,256,0.1190656
2048,1,128,128,512,0.2032192
2048,1,128,128,1024,0.3806272
2048,1,128,256,1,0.0590592
2048,1,128,256,2,0.0578816
2048,1,128,256,4,0.0548416
2048,1,128,256,8,0.0598144
2048,1,128,256,16,0.0652928
2048,1,128,256,32,0.0755776
2048,1,128,256,64,0.0931584
2048,1,128,256,128,0.1327488
2048,1,128,256,256,0.2205184
2048,1,128,256,512,0.36208
2048,1,128,256,1024,0.6441984
2048,1,128,512,1,0.0611072
2048,1,128,512,2,0.0588544
2048,1,128,512,4,0.0616
2048,1,128,512,8,0.06496
2048,1,128,512,16,0.0742016
2048,1,128,512,32,0.0882368
2048,1,128,512,64,0.1307008
2048,1,128,512,128,0.2104576
2048,1,128,512,256,0.3639616
2048,1,128,512,512,0.62512
2048,1,128,512,1024,1.0372032
2048,1,128,1024,1,0.0635392
2048,1,128,1024,2,0.0679808
2048,1,128,1024,4,0.0726848
2048,1,128,1024,8,0.0883328
2048,1,128,1024,16,0.0996736
2048,1,128,1024,32,0.1374656
2048,1,128,1024,64,0.2102528
2048,1,128,1024,128,0.3638976
2048,1,128,1024,256,0.5713024
2048,1,128,1024,512,0.9551424
2048,1,128,1024,1024,1.7806016
2048,1,128,2048,1,0.0716864
2048,1,128,2048,2,0.082816
2048,1,128,2048,4,0.0972544
2048,1,128,2048,8,0.1167552
2048,1,128,2048,16,0.1561664
2048,1,128,2048,32,0.2223104
2048,1,128,2048,64,0.379392
2048,1,128,2048,128,0.6040896
2048,1,128,2048,256,0.9994944
2048,1,128,2048,512,1.7704768
2048,1,128,2048,1024,3.4410624
2048,1,128,4096,1,0.1035264
2048,1,128,4096,2,0.1257984
2048,1,128,4096,4,0.1387392
2048,1,128,4096,8,0.1814656
2048,1,128,4096,16,0.2416768
2048,1,128,4096,32,0.3799488
2048,1,128,4096,64,0.597856
2048,1,128,4096,128,0.9676288
2048,1,128,4096,256,1.7432448
2048,1,128,4096,512,3.31376
2048,1,128,4096,1024,6.6326336
2048,1,128,8192,1,0.1555136
2048,1,128,8192,2,0.1801152
2048,1,128,8192,4,0.2300736
2048,1,128,8192,8,0.3011136
2048,1,128,8192,16,0.4418752
2048,1,128,8192,32,0.651904
2048,1,128,8192,64,0.977632
2048,1,128,8192,128,1.699072
2048,1,128,8192,256,3.4838784
2048,1,128,8192,512,6.294272
2048,1,128,8192,1024,12.806208
2048,1,128,16384,1,0.2567744
2048,1,128,16384,2,0.3153728
2048,1,128,16384,4,0.3884736
2048,1,128,16384,8,0.5396224
2048,1,128,16384,16,0.7578752
2048,1,128,16384,32,1.0300992
2048,1,128,16384,64,1.5974144
2048,1,128,16384,128,2.9396672
2048,1,128,16384,256,5.6408064
2048,1,128,16384,512,11.8064448
2048,1,128,16384,1024,25.4722946
2048,1,128,32768,1,0.4518144
2048,1,128,32768,2,0.55216
2048,1,128,32768,4,0.7467584
2048,1,128,32768,8,1.0339776
2048,1,128,32768,16,1.3068928
2048,1,128,32768,32,1.8237888
2048,1,128,32768,64,3.054848
2048,1,128,32768,128,5.4673408
2048,1,128,32768,256,10.9474432
2048,1,128,32768,512,23.851975
2048,1,128,32768,1024,49.2418884
2048,1,1024,1,1,0.4195008
2048,1,1024,1,2,0.2797952
2048,1,1024,1,4,0.1878336
2048,1,1024,1,8,0.1284736
2048,1,1024,1,16,0.0935488
2048,1,1024,1,32,0.0801024
2048,1,1024,1,64,0.0602368
2048,1,1024,1,128,0.0549952
2048,1,1024,1,256,0.0495488
2048,1,1024,1,512,0.0488768
2048,1,1024,1,1024,0.0467264
2048,1,1024,2,1,0.2348352
2048,1,1024,2,2,0.1595968
2048,1,1024,2,4,0.120832
2048,1,1024,2,8,0.086304
2048,1,1024,2,16,0.0739136
2048,1,1024,2,32,0.060256
2048,1,1024,2,64,0.052832
2048,1,1024,2,128,0.0465472
2048,1,1024,2,256,0.0460416
2048,1,1024,2,512,0.0450048
2048,1,1024,2,1024,0.0521728
2048,1,1024,4,1,0.1454976
