1,1,2,0.028192,0.025728,0.026624,0.026048,0.026080,0.028480,0.027616,0.025568,0.024800,0.025408,0.007936,0.007808,0.002048,0.002048,0.002048,0.002048,0.002048,0.008320,0.002048,0.002048
1,2,4,0.024960,0.025024,0.025696,0.025536,0.027456,0.028576,0.026560,0.025600,0.026272,0.026144,0.002048,0.007744,0.002048,0.002048,0.002048,0.002016,0.002016,0.002016,0.002016,0.002048
1,4,8,0.026144,0.025792,0.025216,0.027040,0.026112,0.026464,0.026976,0.026144,0.025696,0.025344,0.008416,0.002016,0.002016,0.007584,0.002048,0.002048,0.002048,0.007808,0.008032,0.002048
1,8,16,0.026592,0.026272,0.029952,0.025728,0.025024,0.027424,0.028736,0.025920,0.025792,0.025664,0.007680,0.007616,0.002016,0.007968,0.002048,0.002016,0.002016,0.008256,0.002016,0.002048
1,16,32,0.026976,0.027296,0.026336,0.026624,0.026304,0.026400,0.026304,0.037216,0.025728,0.026336,0.104480,0.008416,0.007872,0.002016,0.002176,0.008544,0.007648,0.007680,0.008384,0.002048
1,32,64,0.026848,0.026080,0.025664,0.025664,0.026336,0.025920,0.041920,0.026112,0.024672,0.027040,0.007776,0.008000,0.007968,0.007616,0.007680,0.008320,0.007904,0.007872,0.008256,0.008288
1,64,128,0.027200,0.025632,0.027968,0.027360,0.040960,0.026208,0.029952,0.042496,0.027456,0.027104,0.008224,0.008352,0.007872,0.007968,0.008288,0.008128,0.007840,0.007488,0.008512,0.007712
1,128,256,0.027008,0.027008,0.026304,0.026752,0.026112,0.027200,0.027296,0.027168,0.026816,0.028384,0.007648,0.008128,0.007712,0.007872,0.008256,0.008096,0.007872,0.007840,0.007904,0.007680
1,256,512,0.021216,0.028576,0.027136,0.027104,0.020160,0.028288,0.028320,0.027712,0.027520,0.028032,0.006784,0.008192,0.008416,0.007488,0.002016,0.007616,0.008320,0.008128,0.008064,0.008480
1,1024,1024,0.021088,0.022080,0.029536,0.021824,0.029568,0.021408,0.021536,0.022432,0.028480,0.020960,0.008000,0.007872,0.008256,0.002048,0.007552,0.008992,0.008224,0.008128,0.008512,0.016512
2,1024,2048,0.029760,0.022880,0.021184,0.022080,0.022144,0.022304,0.021728,0.021952,0.022464,0.021600,0.010592,0.010560,0.010624,0.010848,0.011008,0.010976,0.011296,0.011168,0.010752,0.012480
4,1024,4096,0.024224,0.022912,0.023648,0.023680,0.030304,0.023200,0.025888,0.023328,0.024096,0.023872,0.019936,0.019872,0.019840,0.019136,0.033216,0.018912,0.018880,0.019136,0.019648,0.019168
8,1024,8192,0.023968,0.025184,0.025472,0.025376,0.028352,0.023872,0.040544,0.024608,0.024416,0.024928,0.035712,0.037120,0.034208,0.036928,0.037120,0.052000,0.035488,0.034048,0.035904,0.035904
16,1024,16384,0.028960,0.029024,0.029280,0.029696,0.032256,0.036736,0.026080,0.027872,0.028096,0.027104,0.068256,0.069024,0.071104,0.147136,0.071200,0.070944,0.071488,0.071200,0.073856,0.071072
32,1024,32768,0.031488,0.036960,0.032224,0.031904,0.031584,0.032224,0.040800,0.032032,0.031296,0.032320,0.139808,0.139488,0.139744,0.181472,0.140192,0.135008,0.139904,0.139968,0.276992,0.140032
64,1024,65536,0.041248,0.040128,0.040128,0.040160,0.040928,0.040736,0.040192,0.040448,0.040032,0.040512,0.276960,0.276736,0.265536,0.276832,0.276640,0.277152,0.265472,0.265632,0.550144,0.262144
128,1024,131072,0.058816,0.061536,0.058688,0.066336,0.058368,0.059520,0.057792,0.057760,0.059008,0.059936,0.558432,0.550176,0.529152,0.529088,0.550528,0.732704,0.528160,0.555552,0.565216,0.529344
256,1024,262144,0.092800,0.095808,0.092832,0.092416,0.092768,0.093920,0.093312,0.093472,0.092608,0.093184,1.265696,1.394784,1.485728,1.276224,1.386816,1.269440,1.346688,1.305984,1.368032,1.309600
512,1024,524288,0.159872,0.158336,0.162144,0.162784,0.161888,0.162496,0.161408,0.180032,0.162048,0.160928,2.317056,2.550048,2.478528,2.939520,2.374336,2.432032,2.324512,2.464736,2.374208,2.356384
1024,1024,1048576,0.300096,0.295648,0.296064,0.298144,0.314464,0.295488,0.302816,0.302112,0.295616,0.292960,4.692512,4.675232,4.494656,4.582496,4.432256,4.710016,4.751008,4.456864,4.486592,4.725888
